"Add Product","Thêm sản phẩm"
"A total of %1 images(s) have been uploaded to Instagram.","Tổng cộng có 1% hình ảnh (s) đã được tải lên Instagram."
"Add Categories Name as Hashtags","Thêm danh mục thành hashtags"
"Add Custom Hashtags","Thêm Tuỳ chỉnh hashtags"
"Add More Hashtag","Thêm hashtag"
"Add Product Description to Post","Thêm Mô tả sản phẩm"
"All Store Views","Tất cả các Cửa hàng"
"Allow auto posting to Instagram after Saving Product","Cho phép tự động gửi bài đến Instagram sau khi lưu lại sản phẩm"
"Are you sure you wan't to post this product to Instagram?","Bạn có chắc chắn muốn gửi sản phẩm này đến Instagram?"
"Are you sure you wan't to re-post this product to Instagram?","Bạn có chắc chắn muốn gửi lại sản phẩm này đến Instagram?"
"Attribute Set","Thuộc Tính"
"Auto Instagram Post","Tự động đăng Instagram"
"Change status","Thay đổi trạng thái"
"Connection Success","Kết nối thành công"
"Custom Hashtag","Tuỳ chỉnh hashtag"
"Default Image","Hình ảnh mặc định"
"Default Image will be uploaded when product have no Image available. Recommended 800x800 px","Mặc định hình ảnh sẽ được tải lên khi sản phẩm không có hình ảnh có sẵn. Đề xuất 800x800px"
"Delete","Xóa bỏ"
"Delete items","Xóa các mục"
"Delete selected items?","Xóa mục được chọn?"
"Description Template","Mô tả mẫu có sẵn"
"Disable","Vô hiệu"
"Enable","Cho phép"
"Enable Auto Hashtag and Description","Kích hoạt tính năng tuwj động hashtag và Mô tả"
"Enable Auto Instagram","Kích hoạt tính năng tự động gửi lên Instagram"
"Enable Scheduled Auto Post","Kích hoạt tính năng tự động bằng Cron"
"Frequency","Tần suất"
"General Settings","Cài đặt chung"
"Hashtag Value","Giá trị hashtag"
"ID","ID"
"Images Description Settings","Cài đặt mô tả hình ảnh"
"Instagram Action","Hành động Instagram"
"Instagram Status","Trạng thái Instagram"
"label","nhãn"
"Limit Number of Posts","Giới hạn số bài viết"
"Magento Admin","Quản trị Magento"
"Manage Post By Products","Quản lý bài đăng theo Sản phẩm"
"Manage Posts By Product","Quản lý bài đăng theo Sản phẩm"
"Marketing","Marketing"
"Missing Account Information, please check your configuration","Thiếu thông tin tài khoản, xin vui lòng kiểm tra cấu hình của bạn"
"Name","Tên"
"Page not found","Không tìm thấy trang"
"Password","Mật khẩu"
"Please check product's images again <a target=""_blank"" href=""%1"">See more</a>","Vui lòng kiểm tra hình ảnh sản phẩm của một lần nữa <a target=""_blank"" href=""%1""> Xem thêm </a>"
"Post","Bài đăng"
"Post ""${ $.$data.name }"" to Instagram","Bài ""$ {$. $ Data.name}"" đăng lên Instagram"
"Post to Instagram","Gửi tới Instagram"
"Posted","Đã đăng"
"RePost","Đăng lại"
"Scheduled Auto Post Settings","Lên kế hoạch đăng bào tự động"
"SKU","SKU"
"Something went wrong while posting to Instagram.","Đã có lỗi xảy ra khi đang đăng lên Instagram."
"Something went wrong while uploading to Instagram.","Đã có lỗi xảy ra khi đang đăng lên Instagram."
"Start Time","Thời gian bắt đầu"
"Starting Price","Giá khởi điểm"
"Status","Trạng thái"
"Store View","Cửa hàng"
"Test Connection","Kiểm tra kết nối"
"The product has been posted to <a target=""_blank"" href=""%1"">Instagram link</a>","Sản phẩm này đã được đăng lên <a target=""_blank"" href=""%1""> với liên kết Instagram </a>"
"This action will try to use your provided data to login with Instagram API","Hành động này sẽ cố gắng sử dụng dữ liệu mà bạn cung cấp để đăng nhập thông qua Instagram API"
"Thumbnail","Hình nhỏ"
"Type","Kiểu"
"Unauthorized Instagram Account, check your user/password settings","Trái phép Instagram tài khoản, kiểm tra sử dụng / cài đặt mật khẩu của bạn"
"UnPosted","Chưa được đăng"
"Unposted","Chưa được đăng"
"Update attributes","Cập nhật các thuộc tính"
"Username(Instagram Account)","Tên đăng nhập (Tài khoản Instagram)"
"Visibility","Tầm nhìn"
"We can't save the Cron expression.","Không thể lưu lại định nghĩa Cron."
"Websites","Websites"
